Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
[GA Alliance],,,,,,,,,,
"[N38-39Dustwallow Marsh,STV]",,,,,,,,,,
"[NX40-43Badlands,Uldaman]",,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,
"Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",Text,,,,,,,,,
TurnIn: [QT1050][O],TurninOptional,1050,Mythology of the Titans,Hillsbrad Foothills,,,,,,https://classic.wowhead.com/quest=1050
Fly to [F Wetlands],Fly,,,Wetlands,,,,,,https://classic.wowhead.com/quest=
Take the Boat to Theramore,Text,,,Arathi Highlands,,,,,Take the Boat to Theramore,https://classic.wowhead.com/quest=
"Get the [P] flightpath at: [G67,51Dustwallow Marsh]",Flightpath,,,Dustwallow Marsh,"67,51",,,,,https://classic.wowhead.com/quest=
Fly to [F Tanaris],Fly,,,Tanaris,,,,,,https://classic.wowhead.com/quest=
TurnIn: [QT1112],Turnin,1112,Parts for Kravel,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1112
Accept: [QA1114],Accept,1114,Delivery to the Gnomes,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1114
TurnIn: [QT1114],Turnin,1114,Delivery to the Gnomes,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1114
Accept: [QA1106],Accept,1106,Martek the Exiled,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1106
Accept: [QA1115],Accept,1115,The Rumormonger,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1115
TurnIn: [QT1183],Turnin,1183,Goblin Sponsorship,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1183
Accept: [QA1186],Accept,1186,The Eighteenth Pilot,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1186
TurnIn: [QT1186],Turnin,1186,The Eighteenth Pilot,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1186
Accept: [QA1187],Accept,1187,Razzeric's Tweaking,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1187
"Run to [G51,29Tanaris]",Run,,,Tanaris,"51,29",,,,,https://classic.wowhead.com/quest=
