,Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
,[GA Alliance],,,,,,,,,,
,"[N38-39Dustwallow Marsh,STV]",,,,,,,,,,
,"[NX40-43Badlands,Uldaman]",,,,,,,,,,
"[1] = { str = "38-38 Dustwallow Marsh" },","[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,
"[2] = { str = "This guide was written by TUGs and is totally free, but if you want to support my work use:  https://www.paypal.me/Tugstv1337" },","This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,
"[3] = { str = "Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!" },","Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",Text,,,,,,,,,
"[4] = { str = "TurnIn: #TURNINMythology of the Titans# " },",TurnIn: [QT1050][O],TurninOptional,1050,Mythology of the Titans,Hillsbrad Foothills,,,,,,https://classic.wowhead.com/quest=1050
"[5] = { str = "Fly to Wetlands" },",Fly to [F Wetlands],Fly,,,Wetlands,,,,,,https://classic.wowhead.com/quest=
"[6] = { str = "Take the Boat to Theramore" },",Take the Boat to Theramore,Text,,,Arathi Highlands,,,,,Take the Boat to Theramore,https://classic.wowhead.com/quest=
"[7] = { str = "Get the Flightpath in Dustwallow Marsh" },","Get the [P] flightpath at: [G67,51Dustwallow Marsh]",Flightpath,,,Dustwallow Marsh,"67,51",,,,,https://classic.wowhead.com/quest=
"[8] = { str = "Fly to Tanaris" },",Fly to [F Tanaris],Fly,,,Tanaris,,,,,,https://classic.wowhead.com/quest=
"[9] = { str = "TurnIn: #TURNINParts for Kravel# " },",TurnIn: [QT1112],Turnin,1112,Parts for Kravel,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1112
"[10] = { str = "Accept: #ACCEPTDelivery to the Gnomes#" },",Accept: [QA1114],Accept,1114,Delivery to the Gnomes,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1114
"[11] = { str = "TurnIn: #TURNINDelivery to the Gnomes# " },",TurnIn: [QT1114],Turnin,1114,Delivery to the Gnomes,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1114
"[12] = { str = "Accept: #ACCEPTMartek the Exiled#" },",Accept: [QA1106],Accept,1106,Martek the Exiled,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1106
